Island,Size,NDVI,EVI,Taxonomic,Phylogenetic,Functional,LandSea,Trophic
Iheya,23867235.39,6275.176,3692.589641,5,139.8067881,0.089038589,Sea,Omni
Ikema,3173802.88,6217.909091,3902.727273,4,136.9396336,0.080884483,Sea,Omni
Iriomote,297335738.8,6746.057792,4184.942472,5,139.8067881,0.089038589,Sea,Omni
Ishigaki,231070314.6,6778.880454,4385.345148,6,136.0976043,0.094399558,Sea,Omni
Izena,15868967.69,4257.353234,2770.205882,5,139.8067881,0.089038589,Sea,Omni
Kamiyama,459439.2099,NA,NA,2,60.84155562,0.057279552,Sea,Omni
Kohama,8245482.782,4780.534091,3446.272727,4,136.9396336,0.080884483,Sea,Omni
Kudaka,1845981.831,5330.8125,3688.375,4,136.9396336,0.080884483,Sea,Omni
Kume,66423868.91,6285.123007,3692.612756,5,139.8067881,0.089038589,Sea,Omni
Kuro,10797573.2,5690.309278,3897.340206,4,136.9396336,0.080884483,Sea,Omni
Miyako,209710481.8,5637.437954,3517.223831,7,129.5774765,0.096424696,Sea,Omni
Nakanougan,352565.8655,NA,NA,5,122.0525742,0.106615172,Sea,Omni
Okinawa,1247503106,6236.13811,3925.832956,9,136.0648486,0.138618825,Sea,Omni
Osumi,1268113888,7647.162218,3866.944513,7,135.8906295,0.094914957,Sea,Omni
Panari,1666884.632,NA,NA,4,136.9396336,0.080884483,Sea,Omni
Senkaku,6454300.156,4200.84,2113.2,4,136.9396336,0.080884483,Sea,Omni
Taketomi,5841791.527,6574.048387,5194.806452,4,136.9396336,0.080884483,Sea,Omni
Tarama,23906925.4,6258.37,3672.112957,4,136.9396336,0.080884483,Sea,Omni
Tokara,17735884.06,5940.177914,3527.374233,6,136.9396336,0.080884483,Sea,Omni
Tokashiki,107989333.2,4550.242836,2874.502262,4,133.1056044,0.08672682,Sea,Omni
Tonaki,4640562.548,2689.222222,2160.888889,4,136.9396336,0.080884483,Sea,Omni
Yagaji,8271285.007,6132.37931,3943.025862,4,136.9396336,0.080884483,Sea,Omni
Yonaguni,30134646.2,5609.4475,3126.6075,7,137.3110137,0.096682492,Sea,Omni
Zamami,7462451.553,4431.538462,2902.984615,4,136.9396336,0.080884483,Sea,Omni
Aguni,8318375.144,5656.110092,3417.06422,15,126.3130691,0.457643869,Sea,Vert
Aka,5494097.66,2812.228571,1905.714286,12,124.3100642,0.407464198,Sea,Vert
Amami,1262286791,5892.091975,3844.08179,16,130.6100271,0.636865657,Sea,Vert
Arugusuku,1921822.981,8416.4,6321.6,14,124.0168913,0.584674836,Sea,Vert
Daito,45261589.43,6207.899115,4061.580531,19,125.7787404,0.462669706,Sea,Vert
Hateruma,13372996.72,5158.188312,2967.227273,12,131.6901231,0.597726982,Sea,Vert
Hatoma,1121765.894,NA,NA,14,124.0168913,0.584674836,Sea,Vert
Ie,23818325.37,5078.423333,3272.476667,13,119.5445839,0.415588119,Sea,Vert
Iheya,23867235.39,6275.176,3692.589641,20,122.7891646,0.465579548,Sea,Vert
Ikema,3173802.88,6217.909091,3902.727273,14,129.0541867,0.595617826,Sea,Vert
Iriomote,297335738.8,6746.057792,4184.942472,25,125.4484212,0.660297858,Sea,Vert
Ishigaki,231070314.6,6778.880454,4385.345148,27,124.1391594,0.654674566,Sea,Vert
Izena,15868967.69,4257.353234,2770.205882,12,124.3100642,0.407464198,Sea,Vert
Kamiyama,459439.2099,NA,NA,6,102.0539017,0.08166736,Sea,Vert
Kohama,8245482.782,4780.534091,3446.272727,15,125.8090408,0.599893193,Sea,Vert
Kudaka,1845981.831,5330.8125,3688.375,12,124.3100642,0.407464198,Sea,Vert
Kume,66423868.91,6285.123007,3692.612756,14,129.0541867,0.595617826,Sea,Vert
Kuro,10797573.2,5690.309278,3897.340206,15,125.6957086,0.587194446,Sea,Vert
Miyako,209710481.8,5637.437954,3517.223831,24,126.6359761,0.644578456,Sea,Vert
Nakanougan,352565.8655,NA,NA,12,122.7344502,0.453196467,Sea,Vert
Okinawa,1247503106,6236.13811,3925.832956,30,123.9410374,0.679637706,Sea,Vert
Osumi,1268113888,7647.162218,3866.944513,16,132.0986244,0.638569073,Sea,Vert
Panari,1666884.632,NA,NA,14,124.0168913,0.584674836,Sea,Vert
Senkaku,6454300.156,4200.84,2113.2,15,126.205801,0.652028645,Sea,Vert
Taketomi,5841791.527,6574.048387,5194.806452,15,125.7805119,0.589326934,Sea,Vert
Tarama,23906925.4,6258.37,3672.112957,13,128.0082295,0.580874064,Sea,Vert
Tokara,17735884.06,5940.177914,3527.374233,10,125.1996106,0.443153452,Sea,Vert
Tokashiki,107989333.2,4550.242836,2874.502262,17,133.6287607,0.583036509,Sea,Vert
Tonaki,4640562.548,2689.222222,2160.888889,12,124.3100642,0.407464198,Sea,Vert
Yagaji,8271285.007,6132.37931,3943.025862,14,127.0808134,0.416742764,Sea,Vert
Yonaguni,30134646.2,5609.4475,3126.6075,24,127.419028,0.647398841,Sea,Vert
Zamami,7462451.553,4431.538462,2902.984615,12,124.3100642,0.407464198,Sea,Vert
Aguni,8318375.144,5656.110092,3417.06422,4,79.87590834,0.006439967,Land,Frug
Aka,5494097.66,2812.228571,1905.714286,1,NA,NA,Land,Frug
Amami,1262286791,5892.091975,3844.08179,6,122.0228278,0.015475453,Land,Frug
Arugusuku,1921822.981,8416.4,6321.6,2,165.1230829,0.005391458,Land,Frug
Daito,45261589.43,6207.899115,4061.580531,3,80.02596983,0.004238194,Land,Frug
Hateruma,13372996.72,5158.188312,2967.227273,1,NA,NA,Land,Frug
Hatoma,1121765.894,NA,NA,2,165.1230829,0.005391458,Land,Frug
Ie,23818325.37,5078.423333,3272.476667,5,113.9747782,0.010538986,Land,Frug
Iheya,23867235.39,6275.176,3692.589641,5,113.9747782,0.010538986,Land,Frug
Ikema,3173802.88,6217.909091,3902.727273,2,165.1230829,0.005391458,Land,Frug
Iriomote,297335738.8,6746.057792,4184.942472,6,110.0267432,0.011252749,Land,Frug
Ishigaki,231070314.6,6778.880454,4385.345148,5,113.9747782,0.010538986,Land,Frug
Izena,15868967.69,4257.353234,2770.205882,1,NA,NA,Land,Frug
Kamiyama,459439.2099,NA,NA,0,NA,NA,Land,Frug
Kohama,8245482.782,4780.534091,3446.272727,2,165.1230829,0.005391458,Land,Frug
Kudaka,1845981.831,5330.8125,3688.375,2,165.1230829,0.005391458,Land,Frug
Kume,66423868.91,6285.123007,3692.612756,3,80.02596973,0.005910144,Land,Frug
Kuro,10797573.2,5690.309278,3897.340206,4,122.5745263,0.009652992,Land,Frug
Miyako,209710481.8,5637.437954,3517.223831,5,113.9747782,0.010538986,Land,Frug
Nakanougan,352565.8655,NA,NA,0,NA,NA,Land,Frug
Okinawa,1247503106,6236.13811,3925.832956,6,110.0267432,0.011252749,Land,Frug
Osumi,1268113888,7647.162218,3866.944513,6,123.5742352,0.016493258,Land,Frug
Panari,1666884.632,NA,NA,2,165.1230829,0.005391458,Land,Frug
Senkaku,6454300.156,4200.84,2113.2,1,NA,NA,Land,Frug
Taketomi,5841791.527,6574.048387,5194.806452,4,122.5745263,0.009652992,Land,Frug
Tarama,23906925.4,6258.37,3672.112957,2,165.1230829,0.005391458,Land,Frug
Tokara,17735884.06,5940.177914,3527.374233,1,113.9747782,0.010538986,Land,Frug
Tokashiki,107989333.2,4550.242836,2874.502262,5,NA,NA,Land,Frug
Tonaki,4640562.548,2689.222222,2160.888889,1,NA,NA,Land,Frug
Yagaji,8271285.007,6132.37931,3943.025862,5,126.0918711,0.015527731,Land,Frug
Yonaguni,30134646.2,5609.4475,3126.6075,5,113.9747782,0.010538986,Land,Frug
Zamami,7462451.553,4431.538462,2902.984615,4,79.87590834,0.006439967,Land,Frug
Aguni,8318375.144,5656.110092,3417.06422,30,104.3813991,0.03705234,Land,Invert
Aka,5494097.66,2812.228571,1905.714286,15,106.5379951,0.0203793,Land,Invert
Amami,1262286791,5892.091975,3844.08179,49,127.2450519,0.105540002,Land,Invert
Arugusuku,1921822.981,8416.4,6321.6,15,104.6341364,0.020830256,Land,Invert
Daito,45261589.43,6207.899115,4061.580531,42,125.4192703,0.075144851,Land,Invert
Hateruma,13372996.72,5158.188312,2967.227273,18,103.0749835,0.021489485,Land,Invert
Hatoma,1121765.894,NA,NA,15,97.07481123,0.017782827,Land,Invert
Ie,23818325.37,5078.423333,3272.476667,19,100.4877071,0.0235869,Land,Invert
Iheya,23867235.39,6275.176,3692.589641,30,103.5275868,0.036805075,Land,Invert
Ikema,3173802.88,6217.909091,3902.727273,16,118.5492152,0.071330117,Land,Invert
Iriomote,297335738.8,6746.057792,4184.942472,58,122.0168959,0.107451985,Land,Invert
Ishigaki,231070314.6,6778.880454,4385.345148,59,127.6809726,0.12092285,Land,Invert
Izena,15868967.69,4257.353234,2770.205882,15,106.5379951,0.0203793,Land,Invert
Kamiyama,459439.2099,NA,NA,0,NA,NA,Land,Invert
Kohama,8245482.782,4780.534091,3446.272727,19,94.75834596,0.020538635,Land,Invert
Kudaka,1845981.831,5330.8125,3688.375,15,106.5568673,0.01943854,Land,Invert
Kume,66423868.91,6285.123007,3692.612756,22,110.9308514,0.032374392,Land,Invert
Kuro,10797573.2,5690.309278,3897.340206,23,98.28029151,0.026419678,Land,Invert
Miyako,209710481.8,5637.437954,3517.223831,48,132.7277042,0.108398182,Land,Invert
Nakanougan,352565.8655,NA,NA,1,NA,NA,Land,Invert
Okinawa,1247503106,6236.13811,3925.832956,76,128.3822864,0.13676816,Land,Invert
Osumi,1268113888,7647.162218,3866.944513,42,129.245646,0.100230034,Land,Invert
Panari,1666884.632,NA,NA,15,97.07481123,0.017782827,Land,Invert
Senkaku,6454300.156,4200.84,2113.2,10,88.04669701,0.012986487,Land,Invert
Taketomi,5841791.527,6574.048387,5194.806452,19,106.9221194,0.024077659,Land,Invert
Tarama,23906925.4,6258.37,3672.112957,14,98.26635439,0.018619324,Land,Invert
Tokara,17735884.06,5940.177914,3527.374233,15,113.8251068,0.042413488,Land,Invert
Tokashiki,107989333.2,4550.242836,2874.502262,38,105.0436236,0.019190178,Land,Invert
Tonaki,4640562.548,2689.222222,2160.888889,15,106.5379951,0.0203793,Land,Invert
Yagaji,8271285.007,6132.37931,3943.025862,29,124.6738868,0.040953151,Land,Invert
Yonaguni,30134646.2,5609.4475,3126.6075,60,118.892942,0.116663105,Land,Invert
Zamami,7462451.553,4431.538462,2902.984615,26,121.3741977,0.0813268,Land,Invert
Aguni,8318375.144,5656.110092,3417.06422,4,117.5774878,0.017000097,Land,Omni
Aka,5494097.66,2812.228571,1905.714286,2,101.0449473,0.022665635,Land,Omni
Amami,1262286791,5892.091975,3844.08179,15,136.0350339,0.063210777,Land,Omni
Arugusuku,1921822.981,8416.4,6321.6,2,101.0449473,0.022665635,Land,Omni
Daito,45261589.43,6207.899115,4061.580531,10,136.9359459,0.052572599,Land,Omni
Hateruma,13372996.72,5158.188312,2967.227273,2,101.0449473,0.022665635,Land,Omni
Hatoma,1121765.894,NA,NA,1,NA,NA,Land,Omni
Ie,23818325.37,5078.423333,3272.476667,4,108.2515369,0.016007738,Land,Omni
Iheya,23867235.39,6275.176,3692.589641,9,156.7978529,0.0494504,Land,Omni
Ikema,3173802.88,6217.909091,3902.727273,3,131.7090692,0.015093347,Land,Omni
Iriomote,297335738.8,6746.057792,4184.942472,16,137.349747,0.058682853,Land,Omni
Ishigaki,231070314.6,6778.880454,4385.345148,18,146.1454573,0.068267514,Land,Omni
Izena,15868967.69,4257.353234,2770.205882,1,NA,NA,Land,Omni
Kamiyama,459439.2099,NA,NA,0,NA,NA,Land,Omni
Kohama,8245482.782,4780.534091,3446.272727,5,170.6019005,0.025491193,Land,Omni
Kudaka,1845981.831,5330.8125,3688.375,1,NA,NA,Land,Omni
Kume,66423868.91,6285.123007,3692.612756,3,87.30013821,0.022993205,Land,Omni
Kuro,10797573.2,5690.309278,3897.340206,4,152.9582003,0.025239939,Land,Omni
Miyako,209710481.8,5637.437954,3517.223831,13,154.6089596,0.059271655,Land,Omni
Nakanougan,352565.8655,NA,NA,0,NA,NA,Land,Omni
Okinawa,1247503106,6236.13811,3925.832956,24,142.1101214,0.076040133,Land,Omni
Osumi,1268113888,7647.162218,3866.944513,15,120.1724599,0.043397443,Land,Omni
Panari,1666884.632,NA,NA,1,NA,NA,Land,Omni
Senkaku,6454300.156,4200.84,2113.2,0,NA,NA,Land,Omni
Taketomi,5841791.527,6574.048387,5194.806452,3,143.7637044,0.023092618,Land,Omni
Tarama,23906925.4,6258.37,3672.112957,1,NA,NA,Land,Omni
Tokara,17735884.06,5940.177914,3527.374233,4,156.4399288,0.041743845,Land,Omni
Tokashiki,107989333.2,4550.242836,2874.502262,5,79.35705896,0.021803416,Land,Omni
Tonaki,4640562.548,2689.222222,2160.888889,1,NA,NA,Land,Omni
Yagaji,8271285.007,6132.37931,3943.025862,10,125.7425112,0.034905712,Land,Omni
Yonaguni,30134646.2,5609.4475,3126.6075,18,141.9873193,0.06735749,Land,Omni
Zamami,7462451.553,4431.538462,2902.984615,2,101.0449473,0.022665635,Land,Omni
Aguni,8318375.144,5656.110092,3417.06422,6,137.8814445,0.021805183,Land,Grani
Aka,5494097.66,2812.228571,1905.714286,2,89.68351076,0.001589809,Land,Grani
Amami,1262286791,5892.091975,3844.08179,24,149.9035546,0.174775694,Land,Grani
Arugusuku,1921822.981,8416.4,6321.6,0,NA,NA,Land,Grani
Daito,45261589.43,6207.899115,4061.580531,15,144.5277848,0.072322788,Land,Grani
Hateruma,13372996.72,5158.188312,2967.227273,0,NA,NA,Land,Grani
Hatoma,1121765.894,NA,NA,0,NA,NA,Land,Grani
Ie,23818325.37,5078.423333,3272.476667,7,129.9065297,0.043634953,Land,Grani
Iheya,23867235.39,6275.176,3692.589641,15,148.2978121,0.069856717,Land,Grani
Ikema,3173802.88,6217.909091,3902.727273,5,141.7845988,0.131925401,Land,Grani
Iriomote,297335738.8,6746.057792,4184.942472,26,131.3762778,0.184875916,Land,Grani
Ishigaki,231070314.6,6778.880454,4385.345148,24,151.0088691,0.182519277,Land,Grani
Izena,15868967.69,4257.353234,2770.205882,4,169.0530934,0.036899112,Land,Grani
Kamiyama,459439.2099,NA,NA,0,NA,NA,Land,Grani
Kohama,8245482.782,4780.534091,3446.272727,6,147.6145132,0.050867612,Land,Grani
Kudaka,1845981.831,5330.8125,3688.375,5,153.1191079,0.039363537,Land,Grani
Kume,66423868.91,6285.123007,3692.612756,6,165.2313678,0.270318294,Land,Grani
Kuro,10797573.2,5690.309278,3897.340206,4,142.3063287,0.013122957,Land,Grani
Miyako,209710481.8,5637.437954,3517.223831,23,151.2125449,0.177314101,Land,Grani
Nakanougan,352565.8655,NA,NA,1,NA,NA,Land,Grani
Okinawa,1247503106,6236.13811,3925.832956,47,142.5472364,0.633204404,Land,Grani
Osumi,1268113888,7647.162218,3866.944513,19,133.8618421,0.161256297,Land,Grani
Panari,1666884.632,NA,NA,0,NA,NA,Land,Grani
Senkaku,6454300.156,4200.84,2113.2,1,NA,NA,Land,Grani
Taketomi,5841791.527,6574.048387,5194.806452,3,160.7364599,0.011496846,Land,Grani
Tarama,23906925.4,6258.37,3672.112957,0,NA,NA,Land,Grani
Tokara,17735884.06,5940.177914,3527.374233,5,121.1592822,0.076470817,Land,Grani
Tokashiki,107989333.2,4550.242836,2874.502262,16,124.4640292,0.130932625,Land,Grani
Tonaki,4640562.548,2689.222222,2160.888889,2,89.68351076,0.001589809,Land,Grani
Yagaji,8271285.007,6132.37931,3943.025862,10,148.778117,0.049846947,Land,Grani
Yonaguni,30134646.2,5609.4475,3126.6075,32,139.4891524,0.097516603,Land,Grani
Zamami,7462451.553,4431.538462,2902.984615,5,125.9973428,0.02054486,Land,Grani
Aguni,8318375.144,5656.110092,3417.06422,8,143.2071039,0.082227701,Land,Vert
Aka,5494097.66,2812.228571,1905.714286,3,114.1854873,0.007481538,Land,Vert
Amami,1262286791,5892.091975,3844.08179,13,141.0906926,0.25742825,Land,Vert
Arugusuku,1921822.981,8416.4,6321.6,2,157.7459219,0.007358041,Land,Vert
Daito,45261589.43,6207.899115,4061.580531,12,107.6401638,0.091227532,Land,Vert
Hateruma,13372996.72,5158.188312,2967.227273,3,114.1854873,0.007481538,Land,Vert
Hatoma,1121765.894,NA,NA,2,157.7459219,0.007358041,Land,Vert
Ie,23818325.37,5078.423333,3272.476667,6,143.8358777,0.038181561,Land,Vert
Iheya,23867235.39,6275.176,3692.589641,9,133.1938848,0.075489034,Land,Vert
Ikema,3173802.88,6217.909091,3902.727273,3,162.6640289,0.016731157,Land,Vert
Iriomote,297335738.8,6746.057792,4184.942472,18,124.9944874,0.100791281,Land,Vert
Ishigaki,231070314.6,6778.880454,4385.345148,16,130.8964324,0.096346866,Land,Vert
Izena,15868967.69,4257.353234,2770.205882,3,114.1854873,0.007481538,Land,Vert
Kamiyama,459439.2099,NA,NA,0,NA,NA,Land,Vert
Kohama,8245482.782,4780.534091,3446.272727,4,135.3065738,0.017832155,Land,Vert
Kudaka,1845981.831,5330.8125,3688.375,2,157.7459219,0.007358041,Land,Vert
Kume,66423868.91,6285.123007,3692.612756,3,114.1854873,0.007481538,Land,Vert
Kuro,10797573.2,5690.309278,3897.340206,6,143.1079139,0.022178308,Land,Vert
Miyako,209710481.8,5637.437954,3517.223831,13,139.6342661,0.096292545,Land,Vert
Nakanougan,352565.8655,NA,NA,0,NA,NA,Land,Vert
Okinawa,1247503106,6236.13811,3925.832956,19,132.0041352,0.106371094,Land,Vert
Osumi,1268113888,7647.162218,3866.944513,16,154.0770552,0.136878208,Land,Vert
Panari,1666884.632,NA,NA,2,157.7459219,0.007358041,Land,Vert
Senkaku,6454300.156,4200.84,2113.2,0,NA,NA,Land,Vert
Taketomi,5841791.527,6574.048387,5194.806452,3,124.4566435,0.01161737,Land,Vert
Tarama,23906925.4,6258.37,3672.112957,3,114.1854873,0.007481538,Land,Vert
Tokara,17735884.06,5940.177914,3527.374233,5,135.3960587,0.085051211,Land,Vert
Tokashiki,107989333.2,4550.242836,2874.502262,10,148.4985633,0.100204331,Land,Vert
Tonaki,4640562.548,2689.222222,2160.888889,2,157.7459219,0.007358041,Land,Vert
Yagaji,8271285.007,6132.37931,3943.025862,5,131.7477619,0.02021291,Land,Vert
Yonaguni,30134646.2,5609.4475,3126.6075,19,126.91882,0.106781898,Land,Vert
Zamami,7462451.553,4431.538462,2902.984615,5,127.0341089,0.062815264,Land,Vert
